文本,分类,情感,编号
锡兰红茶块+热牛奶治愈我一整个冬天李佳琦直播间水獭吨吨薅羊毛,价格,positive,285
2月14日早餐，佳琦直播间买的即食花胶，感染时候吃着觉得还行，但是这次吃好难吃，剩了一半，配料表看着还行,食品质量,negative,286
我在佳琦直播间九十九块买的耳骨夹戴出去第一天就丢了MD老子再也不买耳骨夹了,价格,negative,287
奈娃家族袜子挺好看的，柔软度也是可以的，但是不是纯棉的，而且有点薄,服饰类质量,positive,288
比之前在佳琦直播间买的另一个牌子要差一点，总体还行，质量的话看着还行，具体也要等天气暖和一点穿了,服饰类质量,negative,289
不过没许愿到想要的颜色有点小可惜，这个袜子颜色花色有点不好搭，开盲盒的感觉！,服饰类质量,negative,290
所有女生体验官所有女生会员服务中心ULUKA清洁度蛮好的乳化速度也很快上脸之后不会有油乎乎的感觉，平,护肤品质量,positive,291
常不想用卸妆水的，直接用紫苏的卸妆膏，在手心里面乳化一下，之后上脸很快就可以把彩妆给溶解了，洗完之后,化妆品质量,positive,292
再用一个洗面奶清洗一下就好了，第一次就用的卸妆膏就是在佳琦直播间买的，买的就是紫苏的这款。,化妆品质量,positive,293
看了一周的佳琦直播间每天不仅至少买一样没，买的还觉得太亏了真的厉害,主播支持度,positive,294
没有人能空着手从李佳琦直播间走出来,主播专业度,positive,295
李佳琦求问卡尔顿的面包口感咋样，佳琦直播间买的，预售3天，一直不发货，再考虑要不要买了,发货,negative,296
李佳琦直播间买的圣农炸鸡太好吃了下次播了还买,食品质量,positive,297
清风维达落泪了李佳琦什么时候能把得宝的价格打下来并让它成为直播间常驻嘉宾,价格,positive,298
李佳琦直播间买的牛排要怎么吃啊承受不住的难吃,食品质量,未知,299
前几天刚买的水獭吨吨，没想到今晚李老头59块3盒！！！,价格,positive,300
李佳琦姐妹们，赫丽尔斯的洁颜蜜嘎嘎好用！,护肤品质量,positive,301
我去年双11在佳琦直播间买的，现在用到第二瓶了，我油皮，常年长闭口的，现在都变很少了！！,护肤品质量,positive,302
我觉得洗完不会紧绷，很温和，起泡也多，姐妹们可以冲，这个真的很好用！,护肤品质量,positive,303
李佳琦Aveda的梳子，到手以后特别特别轻轻的离谱。,生活用品质量,positive,304
一把梳子195本身就不便宜利润很大，还搞区别对待这一出给个说法吧李佳琦直播官方微博Aveda艾梵达,价格,未知,305
我真是神经病白天不吃饭，大晚上这个点煮李佳琦直播间买的牛肉面来吃,食品质量,positive,306
要是想享受低价就需要买好多忍住佳琦能不能把圣农脆皮炸翅的价格打下来啊其他直播间都是89.,价格,positive,307
89一袋同样是250g接受翅中贵但不能翻倍啊,价格,negative,308
佳琦直播间真的有魔力吧，我每次看预告，都觉得没啥要买的，但是晚上习惯性地进去看一眼，总是会有收获,主播专业度,positive,309
三个月前李佳琦直播间买的快五斤肉干吃到现在还有两斤太值了下次还屯哈哈哈哈哈,性价比,positive,310
昨晚李佳琦直播间买的东西都发货了我的应援还一动不动,发货,negative,311
李佳琦直播间真省钱。,价格,positive,312
李佳琦买了红宝石烂了脸。,护肤品质量,negative,313
表扬李佳琦直播间买这个一口生煎和煎饺特别是这个小生煎，比之前买的大的生煎好做多了！,食品质量,positive,314
李佳琦在李佳琦直播间买的八宝饭，吐了，从没见过这么差的！,食品质量,negative,315
也没人处理！,售后,negative,316
李佳琦周生生货不足就别上直播间啊，1.9号买的，搞到今天都不发货,发货,negative,317
卖家还态度傲慢强调只能年后发了，太下头了。,售后,negative,318
李佳琦请问大家，双十一在直播间买的添可洗地机总共没用几次今天就彻底坏了。,电器质量,negative,319
这个怎么售后？,售后,negative,320
没找到直播间的客服啊。,售后,negative,321
李佳琦只有我9号直播间买的的周生生转运珠还没发货吗？,发货,negative,322
李佳琦直播间买的优惠券怎么用，必须得去线下买吗,优惠,positive,323
李佳琦直播间买的红酒迟迟不发货，是只有我吗？,发货,negative,324
本来以为李佳琦这边肯定不存在发货问题，没想到啊卖家让我退货。,退货,negative,325
我等了7，8天了，要是你发不出来早说我也好早点买其他的，现在这个时间点，晕死,发货,negative,326
现在看到李佳琦的帖子都点个赞谁叫他直播间赠品多爱了爱了（赠品多到惊掉下巴）,赠品,positive,327
说是mini其实也足够吃，每包的面条还都不一样，适合小朋友学习用筷子。,食品质量,positive,328
2022年最满意的3次消费给妈妈买的本命年红绳，希望妈妈新的一年福来运转。,饰品质量,positive,329
给自己买的皮短裤百搭好看。,服饰类质量,positive,330
还有在佳琦直播间买的围巾，颜色超级温柔，真的很好看。,服饰类质量,positive,331
李佳琦昨天直播间买的骆驼冲锋衣，刚刚接到电话说没有库存了让申请退款，乌鱼子，所以昨天放弃了波司登好后,退款,negative,332
我的一直都没发货，请问姐妹们这是预售吗？,发货,negative,333
李佳琦姐妹们，有没有好用的防脱控油洗发水推荐呢，上次直播间买的洗发水好难用,洗护类质量,negative,334
佳琦直播间买的毛衣外套我妈让我送给我奶孝顺孝顺,服饰类质量,positive,335
今天很多生活日品，超好买的所有女生直播间李佳琦直播预告O,直播预告,positive,336
李佳琦所有女生1.13直播预告，下午场清单,直播预告,positive,337
我真的好爱李佳琦，在直播间买的东西的物流速度真的一绝啊，以为过年前收不到了，都收到了！,物流,positive,338
真的可以永远相信李老头,主播信任度,positive,339
fitme气垫好早之前李佳琦直播间买的了现在对我来说太黑了丢掉,化妆品质量,negative,340
李佳琦直播间买的即食海参粗大饱满五只一斤，还真没吃过这么大！,食品质量,positive,341
李佳琦直播间买的，打完折蛮便宜的,折扣,negative,342
洁面膏，不惊艳不难用，干皮用完还是有拔干感，整体来说像是上一代的洁面产品，过时的使用感。,护肤品质量,negative,343
李佳琦真的是一个值得我们信赖的主播，直播间的产品都是保障的，买的放心用的更加放心,主播信任度,positive,344
李佳琦直播间买的那个麦子妈的辣子鸡，真的超级不好吃！,食品质量,negative,345
事实上我用下来觉得很不错，尤其是即时的效果用来救急蛮不错。,护肤品质量,positive,346
李佳琦前两天在李老头直播间刚买的evelom卸妆膏还有一年半到期请问姐妹们这算临期吗,化妆品质量,negative,347
李佳琦直播间买的洗发水，有被蓬松到,洗护类质量,positive,348
双十一李佳琦直播间买的露得清洗面奶好像是假的，质地都不一样,洗护类质量,negative,349
呜呜呜呜李佳琦直播间买的这个饼干真的巨好吃,食品质量,positive,350
"李佳琦李佳琦姐妹们，刚在佳琦直播间买的14pro,发货店铺是秒速达，我在考虑要不要，好纠结啊",发货,未知,351
李佳琦直播间买的炸鸡和烤肠，真的适合懒人，不要说什么垃圾食品，吃起来真的快乐。,食品质量,positive,352
年货准备的是在佳琦直播间买的太后悔了真的是买少了每个回来都很好吃,食品质量,positive,353
李佳琦直播间随便买的滋源生姜结果不痒头发还蓬蓬的！！,洗护类质量,positive,354
还有神仙假睫毛毛子家的！还有娥佩兰胶水不错,化妆品质量,positive,355
佳琦直播间就是发货有点慢,发货,negative,356
静韵睡衣，质量超好，今年穿的最多的衣服了，感觉已经洗褪色了，买的那天晚上就选好了。,服饰类质量,positive,357
蕉下太阳伞，第一件在佳琦直播间买的东西，质量很好，很可爱，用了一整个夏天。,日用品质量,positive,358
domsmoke情侣短袖，颜色奶奶的，我很喜欢。,服饰类质量,positive,359
牛角扣大衣，质量很好，感觉可以穿好久。,服饰类质量,positive,360
李佳琦佳琦直播间买的小饰品都超级喜欢,选品,positive,361
2022在佳琦直播间买的最值的东西！,性价比,positive,362
李佳琦直播间买的烤鱼很好吃,选品,positive,363
今日有感近仨月在佳琦直播间下单的化妆品除了花西子的散粉别的都是垃圾,化妆品质量,negative,364
李佳琦第一次在直播间买的菜鸟这个养护嘴巴的，意想不到的好用！,选品,positive,365
晚上睡前涂，第二天早上起来嘴巴就滋润多了，以后肯定会回购。,护肤品质量,positive,366
佳琦直播间买的，有过年的感觉了,选品,negative,367
李佳琦直播间买的臭宝螺蛳粉终于吃完了不好吃啊好欢螺yyds,选品,negative,368
厉害了，去年李佳琦直播间买的麦趣尔牛奶到现在还没退款，运费也没退淘宝麦趣尔乳业李佳琦,退款,negative,369
最近在李佳琦直播间买的几样吃的都不是很满意，以后要控制自己不能再被李佳琦诱惑冲动下单了,选品,negative,370
明天晚上我就要到李佳琦的直播间蹲一蹲了,主播信任度,positive,371
李佳琦去年的零食小奈包还是经常在直播间买的热门零食，怎么今年的基本都是一般的小零食，本来去年的就没抢,选品,negative,372
今天有牛奶有鸭舌，好想吃都挺好买的哦所有女生直播间李佳琦直播预告O,选品,positive,373
